New Year's Day,"January 1, Monday",National,2024,2024-01-01, Monday
Islander Day,"February 19, Monday",PEI,2024,2024-02-19, Monday
Louis Riel Day,"February 19, Monday",MB,2024,2024-02-19, Monday
Heritage Day,"February 19, Monday",NS,2024,2024-02-19, Monday
Family Day,"February 19, Monday","BC, AB, SK, ON, NB",2024,2024-02-19, Monday
Valentine's Day,"February 14, Wednesday",Not an official holiday,2024,2024-02-14, Wednesday
St. Patrick's Day,"March 17, Sunday",Not a stat holiday,2024,2024-03-17, Sunday
Good Friday,"March 29, Friday",National except QC,2024,2024-03-29, Friday
Easter Monday,"April 1, Monday",QC,2024,2024-04-01, Monday
Mother's Day,"May 12, Sunday",Not an official holiday,2024,2024-05-12, Sunday
Victoria Day,"May 20, Monday","National except NS, NL",2024,2024-05-20, Monday
Father's Day,"June 16, Sunday",Not an official holiday,2024,2024-06-16, Sunday
Aboriginal Day,"June 21, Friday",NWT,2024,2024-06-21, Friday
St. Jean Baptiste Day,"June 24, Monday",QC,2024,2024-06-24, Monday
Canada Day,"July 1, Monday",National,2024,2024-07-01, Monday
Civic Holiday,"August 5, Monday","AB, BC, SK, ON, MB, NB, NU",2024,2024-08-05, Monday
Labour Day,"September 2, Monday",National,2024,2024-09-02, Monday
National Day for Truth and Reconciliation,"September 30, Monday","National, federally regulated workplaces only",2024,2024-09-30, Monday
Thanksgiving,"October 14, Monday","National except NS, NL",2024,2024-10-14, Monday
Halloween,"October 31, Thursday",Not an official holiday,2024,2024-10-31, Thursday
Remembrance Day,"November 11, Monday","National except MB, ON, QC, NS",2024,2024-11-11, Monday
Christmas Day,"December 25, Wednesday",National,2024,2024-12-25, Wednesday
Boxing Day,"December 26, Thursday",ON,2024,2024-12-26, Thursday
New Year's Day,"January 1, Wednesday",National,2025,2024-01-01, Wednesday
Islander Day,"February 17, Monday",PEI,2025,2024-02-17, Monday
Louis Riel Day,"February 17, Monday",MB,2025,2024-02-17, Monday
Heritage Day,"February 17, Monday",NS,2025,2024-02-17, Monday
Family Day,"February 17, Monday","BC, AB, SK, ON, NB",2025,2024-02-17, Monday
Valentine's Day,"February 14, Friday",Not an official holiday,2025,2024-02-14, Friday
St. Patrick's Day,"March 17, Monday",Not a stat holiday,2025,2024-03-17, Monday
Good Friday,"April 18, Friday",National except QC,2025,2024-04-18, Friday
Easter Monday,"April 21, Monday",QC,2025,2024-04-21, Monday
Mother's Day,"May 11, Sunday",Not an official holiday,2025,2024-05-11, Sunday
Victoria Day,"May 19, Monday","National except NS, NL",2025,2024-05-19, Monday
Father's Day,"June 15, Sunday",Not an official holiday,2025,2024-06-15, Sunday
Aboriginal Day,"June 21, Saturday",NWT,2025,2024-06-21, Saturday
St. Jean Baptiste Day,"June 24, Tuesday",QC,2025,2024-06-24, Tuesday
Canada Day,"July 1, Tuesday",National,2025,2024-07-01, Tuesday
Civic Holiday,"August 4, Monday","AB, BC, SK, ON, MB, NB, NU",2025,2024-08-04, Monday
Labour Day,"September 1, Monday",National,2025,2024-09-01, Monday
National Day for Truth and Reconciliation,"September 30, Tuesday","National, federally regulated workplaces only",2025,2024-09-30, Tuesday
Thanksgiving,"October 13, Monday","National except NS, NL",2025,2024-10-13, Monday
Halloween,"October 31, Friday",Not an official holiday,2025,2024-10-31, Friday
Remembrance Day,"November 11, Tuesday","National except MB, ON, QC, NS",2025,2024-11-11, Tuesday
Christmas Day,"December 25, Thursday",National,2025,2024-12-25, Thursday
Boxing Day,"December 26, Friday",ON,2025,2024-12-26, Friday
New Year's Day,"January 1, Sunday",National,2023,2024-01-01, Sunday
Islander Day,"February 20, Monday",PEI,2023,2024-02-20, Monday
Louis Riel Day,"February 20, Monday",MB,2023,2024-02-20, Monday
Heritage Day,"February 20, Monday",NS,2023,2024-02-20, Monday
Family Day,"February 20, Monday","BC, AB, SK, ON, NB",2023,2024-02-20, Monday
Valentine's Day,"February 14, Tuesday",Not an official holiday,2023,2024-02-14, Tuesday
St. Patrick's Day,"March 17, Friday",Not a stat holiday,2023,2024-03-17, Friday
Good Friday,"April 7, Friday",National except QC,2023,2024-04-07, Friday
Easter Monday,"April 10, Monday",QC,2023,2024-04-10, Monday
Mother's Day,"May 14, Sunday",Not an official holiday,2023,2024-05-14, Sunday
Victoria Day,"May 22, Monday","National except NS, NL",2023,2024-05-22, Monday
Father's Day,"June 18, Sunday",Not an official holiday,2023,2024-06-18, Sunday
Aboriginal Day,"June 21, Wednesday",NWT,2023,2024-06-21, Wednesday
St. Jean Baptiste Day,"June 24, Saturday",QC,2023,2024-06-24, Saturday
Canada Day,"July 1, Saturday",National,2023,2024-07-01, Saturday
Civic Holiday,"August 7, Monday","AB, BC, SK, ON, NB, NU",2023,2024-08-07, Monday
Labour Day,"September 4, Monday",National,2023,2024-09-04, Monday
National Day for Truth and Reconciliation,"September 30, Saturday","National, federally regulated workplaces only",2023,2024-09-30, Saturday
Thanksgiving,"October 9, Monday","National except NS, NL",2023,2024-10-09, Monday
Halloween,"October 31, Tuesday",Not an official holiday,2023,2024-10-31, Tuesday
Remembrance Day,"November 11, Saturday","National except MB, ON, QC, NS",2023,2024-11-11, Saturday
Christmas Day,"December 25, Monday",National,2023,2024-12-25, Monday
Boxing Day,"December 26, Tuesday",ON,2023,2024-12-26, Tuesday
New Year's Day,"January 1, Thursday",National,2026,2024-01-01, Thursday
Islander Day,"February 16, Monday",PEI,2026,2024-02-16, Monday
Louis Riel Day,"February 16, Monday",MB,2026,2024-02-16, Monday
Heritage Day,"February 16, Monday",NS,2026,2024-02-16, Monday
Family Day,"February 16, Monday","BC, AB, SK, ON, NB",2026,2024-02-16, Monday
Valentine's Day,"February 14, Saturday",Not an official holiday,2026,2024-02-14, Saturday
St. Patrick's Day,"March 17, Tuesday",Not a stat holiday,2026,2024-03-17, Tuesday
Good Friday,"April 3, Friday",National except QC,2026,2024-04-03, Friday
Easter Monday,"April 6, Monday",QC,2026,2024-04-06, Monday
Mother's Day,"May 10, Sunday",Not an official holiday,2026,2024-05-10, Sunday
Victoria Day,"May 18, Monday","National except NS, NL",2026,2024-05-18, Monday
Father's Day,"June 14, Sunday",Not an official holiday,2026,2024-06-14, Sunday
Aboriginal Day,"June 21, Sunday",NWT,2026,2024-06-21, Sunday
St. Jean Baptiste Day,"June 24, Wednesday",QC,2026,2024-06-24, Wednesday
Canada Day,"July 1, Wednesday",National,2026,2024-07-01, Wednesday
Civic Holiday,"August 3, Monday","AB, BC, SK, ON, MB, NB, NU",2026,2024-08-03, Monday
Labour Day,"September 7, Monday",National,2026,2024-09-07, Monday
National Day for Truth and Reconciliation,"September 30, Wednesday","National, federally regulated workplaces only",2026,2024-09-30, Wednesday
Thanksgiving,"October 12, Monday","National except NS, NL",2026,2024-10-12, Monday
Halloween,"October 31, Saturday",Not an official holiday,2026,2024-10-31, Saturday
Remembrance Day,"November 11, Wednesday","National except MB, ON, QC, NS",2026,2024-11-11, Wednesday
Christmas Day,"December 25, Friday",National,2026,2024-12-25, Friday
Boxing Day,"December 26, Saturday",ON,2026,2024-12-26, Saturday
